编号,精灵名称,来源,习得等级,技能属性,技能名,能耗,类别,威力
NO001,迪莫,精灵技能,LV1,普通,猛烈撞击,1,物攻,65
NO001,迪莫,精灵技能,LV1,光,闪光,1,魔攻,60
NO001,迪莫,精灵技能,LV1,普通,防御,1,防御,0
NO001,迪莫,精灵技能,LV7,普通,魔法增效,0,状态,0
NO001,迪莫,精灵技能,LV9,光,光球,2,魔攻,80
NO001,迪莫,精灵技能,LV11,火,火焰箭,2,物攻,80
NO001,迪莫,精灵技能,LV13,普通,力量增效,1,状态,0
NO001,迪莫,精灵技能,LV16,草,棘突,3,魔攻,100
NO001,迪莫,精灵技能,LV19,水,潮涌,2,物攻,80
NO001,迪莫,精灵技能,LV22,电,超导,3,魔攻,95
NO001,迪莫,精灵技能,LV27,光,闪光冲击,3,物攻,100
NO001,迪莫,精灵技能,LV30,光,漫反射,1,状态,0
NO001,迪莫,精灵技能,LV32,冰,冰爪,2,物攻,80
NO001,迪莫,精灵技能,LV34,地,热砂,2,魔攻,80
NO001,迪莫,精灵技能,LV36,幻,念力膨胀,2,物攻,80
NO001,迪莫,精灵技能,LV40,光,放晴,0,状态,0
NO001,迪莫,精灵技能,LV42,光,过曝,3,魔攻,60
NO001,迪莫,精灵技能,LV47,光,光刃,4,物攻,120
NO001,迪莫,精灵技能,LV48,光,折射,4,魔攻,50
NO001,迪莫,血脉技能,,普通,星星撞击,2,魔攻,90
NO001,迪莫,血脉技能,,恶,恶能量,1,物攻,60
NO001,迪莫,血脉技能,,龙,升龙咆哮,3,魔攻,200
NO001,迪莫,血脉技能,,电,球状闪电,1,物攻,60
NO001,迪莫,血脉技能,,武,缠丝劲,1,物攻,25
NO001,迪莫,血脉技能,,火,火焰冲锋,1,物攻,60
NO001,迪莫,血脉技能,,幽,幻象,1,物攻,60
NO001,迪莫,血脉技能,,草,花香,1,魔攻,60
NO001,迪莫,血脉技能,,冰,冷风,1,魔攻,60
NO001,迪莫,血脉技能,,虫,噬心,1,物攻,60
NO001,迪莫,血脉技能,,光,折线冲击,2,物攻,80
NO001,迪莫,血脉技能,,机械,离子震荡,3,魔攻,90
NO001,迪莫,血脉技能,,萌,魅惑,1,魔攻,60
NO001,迪莫,血脉技能,,幻,星云漩涡,1,物攻,60
NO001,迪莫,血脉技能,,地,扬沙,1,物攻,60
NO001,迪莫,血脉技能,,毒,溃烂触碰,1,物攻,60
NO001,迪莫,血脉技能,,水,泡沫,1,物攻,60
NO001,迪莫,血脉技能,,翼,鹰爪,1,物攻,60
NO001,迪莫,可学技能石,,普通,借用,0,状态,0
NO001,迪莫,可学技能石,,幻,坍缩,3,魔攻,85
NO001,迪莫,可学技能石,,水,天洪,7,魔攻,150
NO001,迪莫,可学技能石,,冰,寒风吹,3,魔攻,70
NO001,迪莫,可学技能石,,火,怒火,1,状态,0
NO001,迪莫,可学技能石,,草,抽枝,4,物攻,90
NO001,迪莫,可学技能石,,普通,有效预防,1,防御,0
NO001,迪莫,可学技能石,,水,气泡,3,魔攻,100
NO001,迪莫,可学技能石,,草,氧输送,2,状态,0
NO001,迪莫,可学技能石,,水,润泽,7,状态,0
NO001,迪莫,可学技能石,,火,炎打,2,魔攻,95
NO001,迪莫,可学技能石,,电,电弧,3,物攻,80
NO001,迪莫,可学技能石,,草,藤绞,4,物攻,80
NO001,迪莫,可学技能石,,地,跺地,2,物攻,80
NO001,迪莫,可学技能石,,火,闪燃,1,物攻,40
NO002,喵喵,精灵技能,LV1,普通,抓挠,0,物攻,35
NO002,喵喵,精灵技能,LV1,普通,休息回复,2,状态,0
NO002,喵喵,精灵技能,LV6,草,棘突,3,魔攻,100
NO002,喵喵,精灵技能,LV7,普通,扫尾,2,物攻,90
NO002,喵喵,精灵技能,LV8,草,藤绞,4,物攻,80
NO002,喵喵,精灵技能,LV10,普通,防御,1,防御,0
NO002,喵喵,精灵技能,LV12,草,徒长,2,状态,0
NO002,喵喵,精灵技能,LV17,草,叶绿光束,4,魔攻,120
NO002,喵喵,精灵技能,LV21,草,酶浓度调整,3,防御,0
NO002,喵喵,精灵技能,LV29,草,筛管奔流,3,物攻,80
NO002,喵喵,精灵技能,LV30,草,盛开,1,状态,0
NO002,喵喵,精灵技能,LV36,草,孢子,3,状态,0
NO002,喵喵,精灵技能,LV42,草,仙人掌刺击,6,物攻,150
NO002,喵喵,精灵技能,LV48,草,丰饶,3,状态,0
NO002,喵喵,精灵技能,LV49,草,光合作用,4,状态,0
